UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
724865365784801282,Raffaela,22800,3,2899,1155.0,966.33,0,0.0,0.0,275,86.0,91.67,10.03,5.62,9
812043847433916416,Richard Krieger,22599,1,373,373.0,373.0,0,0.0,0.0,345,345.0,345.0,10.03,5.85,9
1266395206913531909,marco nius,22422,1,878,878.0,878.0,0,0.0,0.0,562,562.0,562.0,10.02,6.33,9
3871331249,Micheal McConville,21657,1,2419,2419.0,2419.0,0,0.0,0.0,1243,1243.0,1243.0,9.98,7.13,9
87453846,Alexandra Braun,21530,1,3097,3097.0,3097.0,0,0.0,0.0,272,272.0,272.0,9.98,5.61,9
567743229,Filipp Piatov,21241,1,594,594.0,594.0,1,1.0,1.0,138,138.0,138.0,9.96,4.93,9
1208148890211508224,Polysub,20834,2,6184,3092.0,3092.0,0,0.0,0.0,709,354.5,354.5,9.94,6.57,9
30315515,Susan in laguna,20736,1,0,0.0,0.0,1,1.0,1.0,104,104.0,104.0,9.94,4.65,9
23061981,Dominik Rzepka,20462,1,0,0.0,0.0,1,1.0,1.0,769,769.0,769.0,9.93,6.65,9
292480477,PM Cheung ??,20403,2,429,214.5,214.5,0,0.0,0.0,100,50.0,50.0,9.92,4.62,9
868006470,Nationale Akademie der Wissenschaften Leopoldina,20357,1,1554,1554.0,1554.0,0,0.0,0.0,567,567.0,567.0,9.92,6.34,9
1249025015984672769,Grundrechte retten,20323,3,1435,155.0,478.33,0,0.0,0.0,462,44.0,154.0,9.92,6.14,9
956498845206237185,Alexander Mitsch,20299,1,2821,2821.0,2821.0,0,0.0,0.0,513,513.0,513.0,9.92,6.24,9
19259091,Steven Miles,20197,1,2647,2647.0,2647.0,0,0.0,0.0,337,337.0,337.0,9.91,5.82,9
549286546,Dr. med. Thomas Quak,19992,5,5137,69.0,1027.4,0,0.0,0.0,1498,28.0,299.6,9.9,7.31,9
819481318224523264,Martin Hagen,19932,4,1732,352.0,433.0,0,0.0,0.0,158,22.5,39.5,9.9,5.07,9
80784806,Thomas Knorra ? Für #Kinderrechte!,19880,2,0,0.0,0.0,2,1.0,1.0,413,206.5,206.5,9.9,6.03,9
835619126274113536,Peggy Krull,19522,1,132,132.0,132.0,0,0.0,0.0,132,132.0,132.0,9.88,4.89,9
502751959,gabor halasz,19386,2,1070,535.0,535.0,1,0.5,0.5,209,104.5,104.5,9.87,5.35,9
832170559,Ailsa Forshaw?,19267,63,28,0.0,0.44,58,1.0,0.92,226,5.0,3.59,9.87,5.42,9
791268320,André ?Dré? Voigt,19105,1,0,0.0,0.0,1,1.0,1.0,769,769.0,769.0,9.86,6.65,9
1377609668051222533,Dr. Lockdown Viehler ? ? ? ?,18907,4,1523,468.5,380.75,0,0.0,0.0,236,63.5,59.0,9.85,5.47,9
14367635,???Der Joe??????,18657,1,0,0.0,0.0,1,1.0,1.0,122,122.0,122.0,9.83,4.81,9
100068931,Weigel Lab ? aka WeigelWorld ?,18369,1,0,0.0,0.0,1,1.0,1.0,310,310.0,310.0,9.82,5.74,9
3188876033,Alex ?? #SPFC ??2??2??,18245,1,0,0.0,0.0,1,1.0,1.0,832,832.0,832.0,9.81,6.73,9
736414651664224256,JBAragon,18204,2,256,128.0,128.0,1,0.5,0.5,137,68.5,68.5,9.81,4.93,9
732408858,Sebastian 23,18092,1,2517,2517.0,2517.0,0,0.0,0.0,483,483.0,483.0,9.8,6.18,9
6776952,Helge Fahrnberger,17695,2,0,0.0,0.0,2,1.0,1.0,322,161.0,161.0,9.78,5.78,9
1021444541054939138,Mrs M ???,17001,3,1360,599.0,453.33,2,1.0,0.67,358,73.0,119.33,9.74,5.88,9
1215737471167877121,Blake,16644,17,5862,99.0,344.82,5,0.0,0.29,624,6.0,36.71,9.72,6.44,9
626808348,Johan Hellström ??,16599,1,303,303.0,303.0,0,0.0,0.0,132,132.0,132.0,9.72,4.89,9
1093090475375058944,DIVI e.V.,16559,3,684,282.0,228.0,2,1.0,0.67,203,76.0,67.67,9.71,5.32,9
1303783097637449728,querdenkenwatch,16555,19,307,0.0,16.16,17,1.0,0.89,747,16.0,39.32,9.71,6.62,9
